gc,gf,gsm,G,Gc,Gf,Gstm
32,33,46,0.33786289166786,-0.0349684682013305,-1.76356046532195,1.04097827185483
37,35,28,0.890015228217067,0.174904515091056,0.0358458969582368,-0.139784747702887
36,23,23,0.283469694753039,0.758753551741449,-1.31659753920415,-0.101189339367596
42,16,23,1.25820002970771,0.563836140453002,-0.554110797448465,-0.499916794527778
38,15,26,0.76312476092324,0.488821054619029,-0.950580619778064,-0.513119331934419
20,13,44,-1.53014633391916,0.181628287338154,-0.302410291623557,1.79646463230766
38,16,37,0.746853882901578,0.50040021493556,-0.550159143450714,0.347891293802326
20,16,16,-0.790506461609595,-0.747183501628032,1.459267676498,-0.856331110741817
38,5,33,0.46457659599155,0.869368512645827,-1.44873090645073,0.194370832323022
23,22,24,-0.559348585967225,-0.534214506603167,-0.54505471322438,-0.527926116647406
34,42,34,0.35139137648663,0.242975257849572,-1.26685887548036,0.426480705303412
33,17,30,0.568780710037214,-0.144836838170247,0.144484686152686,-0.314625374054337
34,30,23,0.268768547387361,0.412889417691549,0.631810183262912,-0.486298500677101
40,23,54,1.17848222250338,0.268547089054966,-0.124600254411367,1.49007263105674
43,12,27,1.05399511933791,0.990280026745613,-0.586601778948793,-0.00479668227774637
28,30,35,0.0259238079987455,-0.398857406464013,-1.63862820606413,0.3716331728206
6,14,32,-2.46949233689518,-1.0941972710439,-0.0573907464074675,0.41313692788855
32,56,16,0.369896454436845,-0.0574790151032087,0.237822605909086,-1.16467333265292
23,10,15,-0.498473499044821,-0.524073041656672,-0.998690027564821,-1.22512328569798
20,32,52,-0.698260376110123,-0.906225658466208,-0.581365439997373,1.4748674033403
13,17,29,-2.05469176854696,-0.38176044627479,0.272706713848029,0.242142561173912
37,22,47,1.06277158509621,-0.123876968347824,-1.43587824855339,0.99853249121055
24,37,21,-0.729460527915341,-0.0220313105665403,-0.982051417229729,-0.705826522714758
37,59,37,1.00726531113177,0.0162898231383694,1.88996204406209,0.452167853597303
31,16,21,0.30625669445655,-0.137694940610184,0.207430034306626,-0.61769643047671
44,39,48,1.1574139369758,1.04292955615959,0.882387047603801,1.76983459993135
28,42,25,-0.241390867969269,-0.00268458362682555,-0.136421034487325,-0.0698845936597492
11,18,38,-2.19737672945578,-0.485912875089972,-0.537319626670569,1.20981591232992
28,52,43,0.36759946779833,-0.79726167542586,2.09586839115831,0.966639361648169
35,53,32,0.561912004815305,0.228521528088707,1.56624875258045,0.379172975001527
6,19,42,-2.36702201969001,-1.23878980888582,0.034568579600431,1.5220949648336
32,40,46,0.702922485189499,-0.500295395850483,-0.802048028600623,1.10203525499174
34,18,34,0.262640554229979,0.452999591323326,-0.336874849925711,0.242183723940119
33,22,20,-0.122401964107695,0.791623644053596,-1.71906069256219,-0.86234962571959906
29,34,19,0.161623483368201,-0.336261206787457,-1.21344088808187,-0.827146079209286
31,36,18,-0.0709009792170514,0.250499389073578,-1.18067846937334,-0.823341890515912
32,27,29,-0.0327100899766758,0.44654683576374,-1.22914805483145,0.0321659706150997
33,37,19,0.334019906019898,0.140425706091939,2.11172057332692,-0.907157813018587
36,30,20,0.634080601112968,0.302683110276989,-0.37421410465453,-0.581975757255371
40,54,24,1.11497359489538,0.349499007833377,1.35769526281321,-0.722852828974245
35,17,38,0.7798941510698,-0.0584923139794125,-0.440044926552734,0.284985064295769
43,55,50,1.49269119257402,0.44025229052807,1.74563527753402,1.42564207140278
30,7,18,-0.193768570763771,0.222640437335526,-0.293670844051282,-0.799492110372878
7,21,43,-2.54401897603855,-0.81472775343464,0.46631390102139,1.73429673465384
33,21,18,0.499347435276074,-0.0654936875895344,-0.292616387387259,-0.683960831806098
29,30,12,-0.38521227353257,0.332813148744623,-1.13078645877621,-1.21642881191084
30,40,37,0.452661207174465,-0.508784321578574,-0.741929239973744,0.717061772542969
31,18,13,-0.126901705316679,0.41443482375924,-0.791500546599901,-1.13173554077776
28,41,29,0.0655085662675048,-0.36157800733677,1.22793990831708,-0.181369734977164
33,23,45,0.531215162895962,-0.170712340579912,-1.35188619279327,1.07511124368537
34,8,27,0.332266834538297,0.313629319458355,-0.445172513180792,-0.303914888754193
30,32,28,0.318376371975042,-0.407031943456347,-1.19675464969801,-0.121233592499133
25,27,42,-0.463848721242655,-0.296158304995106,-0.522706875224028,1.07071976583339
30,43,14,-0.030106547601263,0.0463260379887788,0.235496982662203,-1.21918949181016
34,10,24,0.0202887664477063,0.75275508505484,0.151858237929623,-0.224339779723548
30,47,42,0.434423824613446,-0.499515560957001,1.13571288251917,0.645789103481688
35,40,33,0.334027674358563,0.528157290066938,0.229164955408607,0.584628126984535
35,52,27,0.555023230919182,0.205003309108774,-0.319167146907511,-0.28827592473779
33,28,18,0.187114947872763,0.332496631399365,-0.764161591554557,-0.580299663959629
16,42,28,-1.04728863406894,-1.07966453931451,1.60320390906123,0.127938369209473
17,11,8,-1.36166859200354,-0.494463546898913,-0.28966433784789,-1.51693936867751
14,17,27,-1.90400388091826,-0.421661982946341,-0.637205754792882,0.086780703289141
40,15,29,0.93213975009884,0.550250964819251,-1.49697785213338,-0.309931404508763
37,56,18,0.87063488736307,0.158148119102048,-0.39606980174038797,-0.603675636129382
32,34,17,0.215182036685308,0.121407932647914,0.117429608754792,-0.756667784755447
40,28,14,0.701101697481363,0.923321805112123,-1.94007321055848,-0.964414509302006
15,32,12,-1.50881614717571,-0.666686494039348,0.156644985735015,-1.04030026289971
33,39,23,0.46494326146911,-0.0216400571686343,0.159889970402527,-0.483982273426686
30,6,18,-0.581375949415888,0.79962761841582,-1.09593089378563,-1.27719716538689
40,44,22,1.26752581072827,0.192162862238715,-0.0793708976383143,-0.688797778383243
22,6,20,-0.885395383870652,-0.252468589551548,-0.528148382900195,-0.921959205546891
30,11,42,-0.692322520500171,0.941046794824337,0.858247674196129,1.59861481560835
39,27,15,0.419956228031952,1.13385608195834,-0.402077037933322,-0.810189155598435
33,2,27,0.0339033705602473,0.463191198781682,-1.82146349130154,-0.0674418121171138
41,37,9,0.876888851629733,0.883726297592134,-0.470736125413579,-1.24477097600278
23,32,53,-0.234280331413343,-0.94856606687483,1.29305268651124,1.71993763682109
41,38,49,1.28387411350836,0.364958389915603,0.862578690326578,1.3162326949418
35,19,30,0.574686527415494,0.203077672783808,1.51794312617024,0.165436040701243
26,33,26,-0.551219250006646,0.0276382167647927,1.74654811335854,-0.238040952187201
40,30,45,1.48698248781494,-0.110708210306592,1.69120689772754,0.574958000851422
34,19,32,0.446993659720425,0.199690668439295,-1.74640406792168,0.106374030433591
19,38,13,-0.998279135980754,-0.671634349830698,0.088778182760965,-1.44491223408732
35,8,36,0.422629105008887,0.364600149627582,-0.475539892125342,0.313020722223158
20,34,40,-0.611111005302778,-1.04044987600743,2.32952159295813,0.829792810118634
18,16,65,-0.911035459402737,-0.893554959143607,0.0309801136614802,2.32660451208641
30,18,26,0.13316058727867,-0.074047563473897,1.19941603938178,-0.280561452031951
27,12,19,-0.418277066856268,0.0657938724944001,-0.0918261701151119,-0.619297573081492
25,18,29,-0.263831784546758,-0.472536095513632,-0.971249765952088,-0.052610085974121
32,48,27,0.219872402098984,0.101451605880169,-0.211713441688216,-0.153439087241255
30,20,11,0.128908749809513,-0.142386725092651,0.176269334134004,-1.28585622057997
17,7,36,-1.60746055923063,-0.195140018140247,-0.701838420181832,0.825789955847395
18,21,22,-1.12158728285307,-0.648311318450887,0.669762757898668,-0.477010101638534
31,19,34,0.0897099140036587,0.138328617813262,-0.277464842662878,0.448691515449203
20,24,33,-0.794099188690946,-0.798041444989522,0.933264012858298,0.31215785385582
33,19,45,0.483955820677962,-0.0458746093360134,1.99006260866411,1.12515420053677
27,38,17,-0.179826851773087,-0.270448186648142,0.86487621563505,-0.691576012871607
24,17,33,-0.219443953866596,-0.727566578803563,0.409377510752508,0.0475006778356315
35,18,30,0.823134097240027,-0.0813094868394196,0.525913466461743,-0.17282828311343
38,53,40,1.1085742725409,0.0624680222635038,0.475294776015197,0.66070217115793
27,38,34,-0.0777126897026847,-0.391448362970231,-0.124651102624087,0.156117974678614
36,22,24,-4.99724625410841e-4,1.08841899855578,-1.78401214073128,-0.0351903322075351
20,36,24,-1.21599966569246,-0.209641281714225,-0.306256018493349,-0.213636116317486
34,32,44,0.743879596503274,-0.19705937357765901,0.570670769535435,1.34332228338611
34,19,29,0.499494118810527,0.11879271899988,1.49524315110117,-0.416241526867825
36,25,41,0.883203651967062,0.00827426187035701,0.442833754797255,0.442942056074243
35,38,15,0.698834514025096,0.0308534729295231,1.52480156662157,-1.43182787840923
29,11,26,-0.107332658865897,0.0157271582355924,-0.269571438418421,-0.258100473436571
18,26,5,-1.33431257943013,-0.483216727658196,0.0662492716262887,-1.58516059352363
19,20,16,-1.34054187147929,-0.23536566936144,-0.357067843943739,-0.673430461095867
9,27,24,-1.82599739518342,-1.34703681059692,1.23596053276409,-0.694684228297878
33,21,9,-0.021864422615415,0.631173378428543,-1.26454447053434,-1.52682462921766
42,31,42,1.0203171053666,0.820779262410013,0.94208892693134,1.43558678148991
30,23,28,0.163731699171359,-0.154475087275219,-0.225208847960326,0.0348891546446114
22,44,34,-0.589156674946775,-0.588612531189959,1.49980120145164,0.415375690891893
28,15,56,-0.50876754808204006,0.34729050392236,-0.249409564338086,2.03138262819451
41,22,34,0.98887296291374,0.722663249980918,0.307500126765354,0.137264844545843
30,25,46,-0.620725444279897,0.858945532683512,-1.01014240027555,1.7557935765829
25,42,11,-0.574794249029997,-0.140762753696287,0.417251656245801,-1.19296292248082
25,7,15,-0.211669827338858,-0.677381804407083,-1.1709114731486,-1.24703747889257
17,13,29,-1.17853681789925,-0.760193392036261,-1.30382966918579,-0.555693243035217
22,19,3,-1.04997549081294,-0.0981223301188573,-0.945608439993572,-1.84629214520022
38,32,14,0.817975888265166,0.451203571462057,0.0561721607790416,-1.25977716141442
30,12,12,0.207041360979844,-0.218840868658178,0.139655983333424,-1.42413146565093
28,17,23,0.252625316646868,-0.609248958304019,0.250732687519282,-0.619137260945388
34,18,36,0.580837420483253,0.0290853560847721,1.04896860188579,0.643077528451188
21,14,32,-0.418529250797829,-1.02287695759671,-0.924439685714953,0.04555388888039
15,4,27,-1.8818469585714,-0.251453446611758,-1.12709316109639,0.554025106338891
32,29,20,0.549042812560254,-0.368749233970646,1.53950589807806,-0.444185844780428
26,17,24,0.00656863269379455,-0.692512466914851,0.775051420712283,-0.464497615310612
17,21,46,-1.37531126925915,-0.550832578973274,-0.80970161345149,1.71543794535651
32,39,17,0.0492504583091763,0.369557028464973,0.299588771819745,-1.0929615718316401
32,11,16,0.0156178312088908,0.375784478973578,0.106753121502031,-1.06150860190349
37,31,32,0.798844143830711,0.291116666040679,1.89977427651957,0.141974581090132
39,19,23,1.04316617095885,0.274877053617783,1.36050464228532,-0.742451533468053
31,23,19,0.142156180701771,0.00206229574381778,0.247654828076925,-0.637981032472933
36,47,24,0.664957141383531,0.304785758633873,1.05823925825937,-0.48202452072813
36,22,35,0.524080008687978,0.466034870107381,-0.34760292318209,0.908107514859208
39,61,35,1.54284807387165,-0.348069866582226,1.73654635309289,-0.639478254947933
42,37,36,1.45800072392508,0.299997471334109,1.71000799947221,0.249343895711395
28,21,28,-0.221607740032603,-0.0510397338196734,0.760972253889845,0.00503899377470007
41,36,23,0.725995683191201,1.07606381102495,-0.00367744333274016,-0.322951406789739
43,40,62,1.62775103022088,0.258936213380284,-0.20560707048546,2.14924169925308
19,10,15,-0.92185738416275,-0.722769344352878,-0.414778255298037,-1.2615684284494
29,8,29,-0.0411241974370169,-0.0918045159615164,-1.20294632649015,-0.0752810591568058
25,9,28,-0.652684787582455,0.0139586638076862,-1.53369614848313,-0.0506516623025203
38,8,27,0.356160909759853,1.0075616709094,-0.0115741321605831,-0.0889374028715019
37,14,28,0.767862408065117,0.307469466216216,-0.439884971375547,-0.14122700131888
40,51,11,1.11308485519985,0.375044893867232,1.82005948534524,-1.3248370374997
36,17,16,0.695942132225507,0.232991359827861,0.543378774755211,-1.24287093565836
19,11,26,-0.972559201851456,-0.681280140978757,-0.372460117656661,-0.160968484984355
6,19,34,-2.11333389380506,-1.5438346013863,0.880539392843861,0.270877424321237
34,12,20,0.201680840416139,0.553840895934058,0.141457453775128,-0.883823665637004
37,15,43,0.630334234700367,0.491931832617572,-0.392372408932974,1.0517886725579
37,11,24,0.618808104042335,0.497463052399543,-0.907259141257699,-0.457268927587253
30,43,27,0.0403649289583821,0.011936302417796,1.16702472364897,-0.256760417172273
23,31,32,-0.52852253517319,-0.541208181332808,1.83227028258732,0.0948561485067127
28,8,11,-0.469124711256519,0.32905842311169,-0.175854792107918,-1.23617043983355
35,48,27,0.45577936523908,0.354643897676758,-0.804575229728405,0.0954878922162977
36,22,21,0.628187697818806,0.310194559458077,0.059038662735373,-0.582449137970441
38,49,29,0.902500747992483,0.302003353666169,0.980998713535717,0.20730239214166
41,27,53,1.13963019298714,0.557981051804726,-0.524009209636424,1.71085887212761
30,13,20,-0.131485709438994,0.240148148318943,-1.55976571814768,-1.14619057043207
23,21,6,-0.776070906760197,-0.257967193898015,0.409739635856931,-1.6924667364651
25,21,35,-0.102567849970046,-0.719552556366807,-0.138304506618431,0.231322126441556
20,57,24,-0.654733163479317,-0.943386703184298,1.49069801751829,-0.364957895271728
37,43,31,0.814431875203927,0.248109220791859,-0.39401041389837,0.117261955227608
31,11,22,-0.342634612709606,0.670626241133633,0.299102363180641,-0.518413983708972
35,25,36,1.00792652930696,-0.399776531343123,0.472873057547394,0.534626675702662
23,28,15,-0.364264879804604,-0.736603169358974,-0.0652811745640899,-1.06559005892369
18,12,16,-1.39451492341753,-0.365019452184068,0.581940479680525,-0.920209353910997
35,18,24,0.916172308583231,-0.241361334949148,0.494646803888211,-0.479058432979722
44,35,34,1.2714228744359,0.897606903271387,-1.02355684840817,0.494090220219286
39,18,36,0.844263831507105,0.5375706256883,0.960440839071687,0.620887320845229
23,42,34,-0.421344219055135,-0.71012317794606294,-0.0279761137647648,0.442657519095656
28,57,34,0.182600915001838,-0.533969346549883,1.72288363794974,0.266539172057255
43,30,44,1.30815365223151,0.66631426513857,0.234542398667631,0.629997117807327
28,53,18,0.13223846726184,-0.51123408455975194,0.779420053153096,-0.606248061477783
39,35,23,0.87459310587139,0.512888812068992,0.458672315840801,-0.504446026618652
38,22,36,1.04757593796066,0.140220170476143,0.87330853133108,0.244498026161155
32,46,16,0.521643425939448,-0.301525262091119,0.615509532459543,-1.05553397730721
41,21,18,0.860571787417602,0.858248240116011,0.910874477800056,-0.730296815946645
39,21,32,0.876916767724102,0.486788548079429,-0.467472647270195,0.22494359323017
18,16,34,-0.84584991314659,-1.02726480413671,1.47786654033985,0.519692608502418
